item_subtype,item_sub_subtype
beef,ground
beef,steak
beef,hamburger
beef,hotdog
beef,sausage
port,steak
pork,chop
pork,loin
pork,sausage
chicken,ground
chicken,wings
chicken,breast
chicken,thighs
chicken,sausage
cod,sticks
cod,filet
mahi-mahi,filet
salmon,filet
shrimp,bag
tilapia,filet
tilapia,sticks
venison,ground
venison,steak
venison,backstrap
venison,sausage
barley,small
barley,medium
barley,large
buckwheat,small
buckwheat,medium
buckwheat,large
farro,small
farro,medium
farro,large
flour,small
flour,medium
flour,large
millet,small
millet,medium
millet,large
oat,small
oat,medium
oat,large
rice,small
rice,medium
rice,large
rye berries,small
rye berries,medium
rye berries,large
quinoa,small
quinoa,medium
quinoa,large
wheat,small
wheat,medium
wheat,large
wheat berries,small
wheat berries,medium
wheat berries,large
avocado,small
avocado,medium
avocado,large
apple,small
apple,medium
apple,large
apricot,small
apricot,medium
apricot,large
banana,small
banana,medium
banana,large
blackberry,small
blackberry,medium
blackberry,large
blueberry,small
blueberry,medium
blueberry,large
boysenberry,small
boysenberry,medium
boysenberry,large
cantaloupe,small
cantaloupe,medium
cantaloupe,large
cherry,small
cherry,medium
cherry,large
cranberry,small
cranberry,medium
cranberry,large
clementine,small
clementine,medium
clementine,large
coconut,small
coconut,medium
coconut,large
grape,small
grape,medium
grape,large
grapefruit,small
grapefruit,medium
grapefruit,large
kiwi,small
kiwi,medium
kiwi,large
lime,small
lime,medium
lime,large
lemon,small
lemon,medium
lemon,large
mango,small
mango,medium
mango,large
melon,small
melon,medium
melon,large
nectarine,small
nectarine,medium
nectarine,large
orange,small
orange,medium
orange,large
peach,small
peach,medium
peach,large
pear,small
pear,medium
pear,large
pineapple,small
pineapple,medium
pineapple,large
plum,small
plum,medium
plum,large
pomegranate,small
pomegranate,medium
pomegranate,large
raspberry,small
raspberry,medium
raspberry,large
strawberry,small
strawberry,medium
strawberry,large
tangerine,small
tangerine,medium
tangerine,large
watermelon,small
watermelon,medium
watermelon,large
asparagus,small
asparagus,medium
asparagus,large
artichoke,small
artichoke,medium
artichoke,large
arugula,small
arugula,medium
arugula,large
broccoli,small
broccoli,medium
broccoli,large
brussels sprout,small
brussels sprout,medium
brussels sprout,large
cabbage,small
cabbage,medium
cabbage,large
carrot,small
carrot,medium
carrot,large
cauliflower,small
cauliflower,medium
cauliflower,large
celery,small
celery,medium
celery,large
chive,small
chive,medium
chive,large
cucumber,small
cucumber,medium
cucumber,large
green bean,small
green bean,medium
green bean,large
eggplant,small
eggplant,medium
eggplant,large
fennel,small
fennel,medium
fennel,large
kale,small
kale,medium
kale,large
lettuce,small
lettuce,medium
lettuce,large
okra,small
okra,medium
okra,large
onion,small
onion,medium
onion,large
olive,small
olive,medium
olive,large
parsnip,small
parsnip,medium
parsnip,large
peas,small
peas,medium
peas,large
pepper,small
pepper,medium
pepper,large
potato,small
potato,medium
potato,large
pumpkin,small
pumpkin,medium
pumpkin,large
radish,small
radish,medium
radish,large
shallot,small
shallot,medium
shallot,large
tomato,small
tomato,medium
tomato,large
tomatillo,small
tomatillo,medium
tomatillo,large
yam,small
yam,medium
yam,large
zucchini,small
zucchini,medium
zucchini,large
popsicles,box
popsicles,bag
icecream,small
icecream,medium
icecream,large
yogurt,small
yogurt,medium
yogurt,large
burrito,beef
burrito,chicken
burrito,steak
choclate,small
choclate,large
cheese sticks,small
cheese sticks,large
hot pocket,small
hot pocket,large
pretzels,small
pretzels,medium
pretzels,large
popsicles,small
popsicles,medium
popsicles,large
onion rings,small
onion rings,medium
onion rings,large
bag,10lb
bag,20lb
block,small
block,medium
block,large
